x,phi0,phi0_asymptotic
0,0.5789417679,0.7103933783
0.015,0.6056633448,0.7253933783
0.03,0.6301121291,0.7403933783
0.045,0.6529020564,0.7553933783
0.06,0.6744643669,0.7703933783
0.075,0.6951035472,0.7853933783
0.09,0.7150359849,0.8003933783
0.105,0.7344166934,0.8153933783
0.12,0.7533578058,0.8303933783
0.135,0.7719413843,0.8453933783
0.15,0.7902283056,0.8603933783
0.165,0.8082644341,0.8753933783
0.18,0.82608492,0.8903933783
0.195,0.8437172008,0.9053933783
0.21,0.8611831036,0.9203933783
0.225,0.8785003246,0.9353933783
0.24,0.895683476,0.9503933783
0.255,0.9127448314,0.9653933783
0.27,0.9296948607,0.9803933783
0.285,0.946542618,0.9953933783
0.3,0.9632960263,1.010393378
0.315,0.9799620884,1.025393378
0.33,0.9965470459,1.040393378
0.345,1.013056501,1.055393378
0.36,1.029495513,1.070393378
0.375,1.04586867,1.085393378
0.39,1.062180152,1.100393378
0.405,1.07843378,1.115393378
0.42,1.094633058,1.130393378
0.435,1.110781206,1.145393378
0.45,1.126881188,1.160393378
0.465,1.142935745,1.175393378
0.48,1.158947407,1.190393378
0.495,1.174918521,1.205393378
0.51,1.190851264,1.220393378
0.525,1.206747658,1.235393378
0.54,1.222609587,1.250393378
0.555,1.238438803,1.265393378
0.57,1.254236944,1.280393378
0.585,1.270005539,1.295393378
0.6,1.285746019,1.310393378
0.615,1.301459725,1.325393378
0.63,1.317147911,1.340393378
0.645,1.332811758,1.355393378
0.66,1.348452374,1.370393378
0.675,1.364070801,1.385393378
0.69,1.379668022,1.400393378
0.705,1.395244961,1.415393378
0.72,1.410802492,1.430393378
0.735,1.42634144,1.445393378
0.75,1.441862584,1.460393378
0.765,1.457366662,1.475393378
0.78,1.472854372,1.490393378
0.795,1.488326377,1.505393378
0.81,1.503783303,1.520393378
0.825,1.519225748,1.535393378
0.84,1.534654277,1.550393378
0.855,1.550069428,1.565393378
0.87,1.565471713,1.580393378
0.885,1.580861619,1.595393378
0.9,1.596239611,1.610393378
0.915,1.611606131,1.625393378
0.93,1.626961601,1.640393378
0.945,1.642306423,1.655393378
0.96,1.657640982,1.670393378
0.975,1.672965645,1.685393378
0.99,1.688280764,1.700393378
1.005,1.703586674,1.715393378
1.02,1.718883695,1.730393378
1.035,1.734172137,1.745393378
1.05,1.749452293,1.760393378
1.065,1.764724445,1.775393378
1.08,1.779988864,1.790393378
1.095,1.79524581,1.805393378
1.11,1.81049553,1.820393378
1.125,1.825738265,1.835393378
1.14,1.840974243,1.850393378
1.155,1.856203685,1.865393378
1.17,1.871426802,1.880393378
1.185,1.886643798,1.895393378
1.2,1.901854869,1.910393378
1.215,1.917060202,1.925393378
1.23,1.932259979,1.940393378
1.245,1.947454373,1.955393378
1.26,1.962643554,1.970393378
1.275,1.977827681,1.985393378
1.29,1.993006912,2.000393378
1.305,2.008181395,2.015393378
1.32,2.023351275,2.030393378
1.335,2.038516693,2.045393378
1.35,2.053677781,2.060393378
1.365,2.06883467,2.075393378
1.38,2.083987486,2.090393378
1.395,2.099136348,2.105393378
1.41,2.114281373,2.120393378
1.425,2.129422674,2.135393378
1.44,2.14456036,2.150393378
1.455,2.159694536,2.165393378
1.47,2.174825302,2.180393378
1.485,2.189952758,2.195393378
1.5,2.205076997,2.210393378
1.515,2.220198113,2.225393378
1.53,2.235316192,2.240393378
1.545,2.250431322,2.255393378
1.56,2.265543585,2.270393378
1.575,2.280653061,2.285393378
1.59,2.295759827,2.300393378
1.605,2.310863961,2.315393378
1.62,2.325965533,2.330393378
1.635,2.341064614,2.345393378
1.65,2.356161274,2.360393378
1.665,2.371255577,2.375393378
1.68,2.386347588,2.390393378
1.695,2.40143737,2.405393378
1.71,2.416524982,2.420393378
1.725,2.431610482,2.435393378
1.74,2.446693928,2.450393378
1.755,2.461775373,2.465393378
1.77,2.476854872,2.480393378
1.785,2.491932476,2.495393378
1.8,2.507008234,2.510393378
1.815,2.522082196,2.525393378
1.83,2.537154408,2.540393378
1.845,2.552224916,2.555393378
1.86,2.567293765,2.570393378
1.875,2.582360998,2.585393378
